Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AFFO,AUM,DistributionPerSecurity,GrossRentalIncome,NetTangibleAssetsPerSecurity,Occupancy,FFO,FFOPerSecurity,NetGearing
H1 FY2015,344.4,,,,,,,421.9,,,195.4,62.1,133.3,7525.1,11006.5,3481.4,2948.0,79.3,1794.8,,0.11,,,,,millions,AUD,,,11.0,293.3,4.17,,249.0,14.15,
H1 FY2016,346.2,,,,,,,586.4,,,253.1,47.9,205.2,7909.8,11255.7,3345.9,2791.6,64.4,1798.0,,0.115,,,,,millions,AUD,,,11.5,286.2,4.38,,269.8,15.02,
H1 FY2017,356.3,,,,,,,752.3,,,278.6,39.2,239.4,8819.0,12532.9,3713.9,3179.7,56.3,1801.6,,0.123,,,,,millions,AUD,,,12.3,301.9,4.88,,279.8,15.54,
H1 FY2018,378.4,,,,,,,728.5,,,235.9,44.7,191.2,9617.6,13654.2,4036.6,3522.2,47.9,1804.9,,0.1261,,,,,millions,AUD,,,12.61,313.7,5.31,,289.4,16.04,
H1 FY2019,396.4,,,,,,,352.6,,,268.8,141.3,127.5,10979.0,14636.7,3657.7,3084.6,56.3,1936.7,,0.1311,,,,,millions,AUD,,,13.11,320.9,5.66,,295.9,16.36,
FY2019,807.0,,,,,,,880.0,,46.9,614.6,373.6,241.0,11326.6,15867.8,4541.2,3897.5,104.2,1947.9,,0.2661,,,,,millions,AUD,,,26.61,653.8,5.8,,613.7,121.0,22.1
H1 FY2020,357.3,,,,,,,-519.1,,,204.1,106.8,97.3,10785.3,15672.6,4887.3,4488.2,68.1,1947.9,,0.0,,,,,millions,AUD,,,0.0,316.2,5.52,,244.5,12.55,
FY2020,716.7,,,,,,,-213.2,,-10.9,490.2,326.2,164.0,10889.2,15358.6,4469.4,4087.4,372.5,1947.9,,0.132,,,,,millions,AUD,,,13.2,625.8,5.57,,554.7,139.4,23.2
H1 FY2021,386.5,,,,,,,760.5,,,289.0,145.3,143.7,11246.7,15694.3,4447.6,4128.0,72.2,1915.6,,0.13,,,,,millions,AUD,,,13.3,331.4,5.86,,302.3,15.64,24.5
FY2021,795.2,,,,,,,1422.8,,73.9,520.4,206.5,313.9,11673.3,17179.7,5506.4,5139.3,61.5,1915.6,,0.263,,,,,millions,AUD,,,26.3,673.7,6.09,,554.5,154.7,28.2
H1 FY2022,403.4,,,,,,,529.7,,,271.8,218.4,53.4,12010.7,17317.9,5307.2,4907.3,61.5,1915.6,,0.127,,,,,millions,AUD,,,12.7,356.6,6.26,,326.5,17.04,
FY2022,815.5,,,,,,,469.3,,24.5,562.1,283.5,278.6,11475.9,17294.2,5818.3,5052.5,60.2,1915.6,,0.25,,,,,millions,AUD,,,25.0,707.3,5.98,,620.6,,28.5
H1 FY2023,440.8,,,,,,,-1.1,,,289.2,53.1,236.1,11238.7,16870.4,5631.7,4916.1,60.2,1915.6,,0.125,,,,,millions,AUD,265.8,32.2,12.5,381.4,5.85,,316.7,16.53,
FY2023,902.6,,,,,,,-240.0,,-12.5,586.0,180.2,405.8,10766.2,16279.8,5513.6,4796.3,67.9,1915.6,,0.25,,,,,millions,AUD,,,25.0,781.0,5.61,98.2,600.9,31.37,28.3
H1 FY2024,478.4,,,,,,,-249.4,,,286.4,63.8,222.6,10282.4,15802.5,5520.1,4861.7,49.4,1915.6,,0.12,,,,,millions,AUD,258.4,34.4,12.0,397.3,5.36,98.1,309.1,16.14,
FY2024,988.7,,,,,,,-200.7,,-10.5,604.0,168.4,435.6,10109.7,15629.8,5520.1,4839.3,72.2,1915.6,,0.24,,,,,millions,AUD,470.0,,24.0,780.6,5.27,,616.3,32.17,26.5
H1 FY2025,551.2,,,,,,,329.1,,,254.9,70.9,184.0,10206.6,15909.6,5703.0,5116.3,61.7,1915.6,,0.12,,,,,millions,AUD,257.4,,12.0,417.6,5.31,,322.6,16.84,
FY2025,1031.9,,,,,,,981.0,,51.2,622.1,241.4,380.7,10628.1,16927.8,6299.7,5491.8,99.4,1915.6,,0.24,,,,,millions,AUD,494.4,39.8,24.0,815.8,5.53,97.6,650.5,34.0,31.1
H1 FY2026,504.8,,,,,,,400.1,,,314.1,79.0,235.1,10776.1,17121.4,6345.3,5554.5,120.3,1915.6,,0.1225,,,,,millions,AUD,263.4,41.6,12.25,428.2,5.61,,338.8,17.7,
