Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,BulkCargoVolumeTonnes,CargoVolumeTonnes,ContainerCargoTonnes,ContainerVolumeTEU,NormalisedNPAT,TiwaiVolumeTonnes
FY2014,31.258,18.843,12.415,39.7,9.717,31.1,12.195,6.681,21.4,0.255,8.759,-2.888,5.871,31.408,45.727,14.319,10.301,4.98,26.2349,,,,,,,millions,NZD,,2.719,,,,
FY2015,34.559,20.107,14.452,41.8,11.681,33.8,14.37,7.737,22.4,0.295,11.99,-7.239,4.751,33.314,47.153,13.839,8.2,2.153,26.2349,,0.23,,,,,millions,NZD,,2.861,,,,
FY2016,36.718,20.646,16.072,43.8,12.681,34.5,15.7,8.709,23.7,0.332,11.863,-9.85,2.013,35.596,53.019,17.423,14.7,0.908,26.2349,,0.245,,,,,millions,NZD,,3.048,,,,
H1 FY2017,17.41,10.0,7.41,42.6,5.933,34.1,,4.108,23.6,0.157,3.479,-2.496,0.983,34.851,54.378,19.527,14.7,1.037,26.2349,,,,,,,millions,NZD,,,,,,
FY2017,36.868,21.549,15.319,41.6,12.259,33.3,15.55,8.448,22.9,0.322,12.068,-2.503,9.565,37.223,52.555,15.332,9.6,1.675,26.2349,,0.26,,,,,millions,NZD,,3.053,,,,
H1 FY2018,19.474,10.828,8.646,44.4,6.905,35.5,,4.901,25.2,0.187,2.887,-1.473,1.414,37.27,54.43,17.16,11.9,0.535,26.2349,,,,,,,millions,NZD,,,,,,
FY2018,40.705,23.258,17.447,42.9,13.797,33.9,17.158,9.658,23.7,0.368,12.342,-4.385,7.957,40.06,54.11,14.05,7.2,0.991,26.2349,,0.26,,,,,millions,NZD,,3.445,,,,
H1 FY2019,20.918,12.489,8.429,40.3,6.673,31.9,,4.551,21.8,0.173,3.417,-3.55,-0.133,39.758,57.027,17.269,12.1,0.905,26.2349,,,,,,,millions,NZD,,,,,,
FY2019,43.95,25.768,18.182,41.4,14.38,32.7,17.99,9.787,22.3,0.373,13.554,-5.976,7.578,43.026,56.699,13.673,7.0,1.426,26.2349,,0.26,,,,,millions,NZD,,3.521,,,,
H1 FY2020,21.583,13.14,8.443,39.1,6.572,30.4,,4.556,21.1,0.174,3.847,-2.533,1.314,42.729,59.294,16.565,10.501,1.387,26.2349,,,,,,,millions,NZD,,,,,,
FY2020,44.573,26.688,17.885,40.1,13.871,31.1,17.714,9.43,21.2,0.359,12.605,-5.498,7.107,45.635,59.411,13.776,6.5,1.229,26.2349,,0.26,,,,,millions,NZD,,3.269,,,,
H1 FY2021,23.384,12.849,10.535,45.1,8.49,36.3,,6.065,25.9,0.231,5.622,-4.464,1.158,46.847,64.76,17.913,11.0,2.008,26.2349,,,,,,,millions,NZD,,,,,,
FY2021,47.291,28.447,18.844,39.8,14.67,31.0,18.85,10.714,22.7,0.408,15.827,-10.184,5.643,49.528,68.673,19.145,9.0,1.627,26.2349,,0.26,,,,,millions,NZD,,3.454,,,10.452,
H1 FY2022,23.342,12.802,10.54,45.2,8.203,35.1,,5.864,25.1,0.224,5.002,-15.625,-10.623,50.276,81.671,31.395,25.0,1.862,26.2349,,,,,,,millions,NZD,,,,,,
FY2022,48.584,27.16,21.424,44.1,16.782,34.5,21.152,12.829,26.4,0.489,13.695,-24.406,-10.711,55.274,88.136,32.862,25.5,1.303,26.2349,,0.27,,,,,millions,NZD,,3.554,,,11.162,
H1 FY2023,24.939,16.435,8.504,34.1,7.518,30.1,,5.153,20.7,0.196,5.434,-9.508,-4.074,55.311,97.998,42.687,35.5,2.067,26.2349,,,,,,,millions,NZD,,,,,,
FY2023,53.589,30.385,23.204,43.3,17.863,33.3,22.768,11.712,21.9,0.446,16.448,-15.023,1.425,59.903,97.906,38.003,25.0,1.035,26.2349,,0.27,,,,,millions,NZD,,3.479,,,11.504,
H1 FY2024,25.475,16.235,9.24,36.3,6.013,23.6,,3.033,11.9,0.116,0.876,-8.706,-7.83,57.829,106.641,48.812,43.5,1.541,26.2349,,,,,,,millions,NZD,,,,,,
FY2024,56.128,33.187,22.941,40.9,16.326,29.1,21.305,7.376,13.1,0.281,12.786,-9.045,3.741,60.232,103.364,43.132,35.75,2.31,26.2349,0.036,0.27,,,,,millions,NZD,,3.213,,,9.956,
H1 FY2025,29.566,16.125,13.441,45.5,9.935,33.6,,5.758,19.5,0.219,7.039,-3.479,3.56,60.922,108.652,47.73,38.304,3.255,26.2349,,,,,,,millions,NZD,,,,,,
FY2025,63.282,35.599,27.683,43.7,20.557,32.5,25.832,13.318,21.0,0.506,23.672,-8.043,15.629,66.573,109.667,43.094,31.008,6.075,26.2349,0.106,0.27,,,,,millions,NZD,,3.553,,52300.0,13.891,
H1 FY2026,34.755,18.042,16.713,48.1,12.597,36.2,,8.454,24.3,0.321,7.628,-6.399,1.229,69.703,113.099,43.396,31.518,2.378,26.2349,,,,,,,millions,NZD,1.16,1.99,,,,0.51
FY2026,71.852,39.164,32.688,45.5,24.472,34.1,29.887,16.11,22.4,0.611,23.598,-9.439,14.159,75.223,120.267,45.044,31.008,12.556,26.2349,0.148,0.29,,,,,millions,NZD,2.36,3.96,0.665,62000.0,16.14,0.942
