Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CustomerReceivables,RestrictedCash
FY2019,84.23100000000001,51.438,30.743000000000002,36.5,-11.133000000000001,-13.2,,-11.133000000000001,-13.2,-0.0352,22.592,3.883,18.709,76.3,685.162,608.862,587.445,12.611,316.278,3.215,0.0,,,,,millions,AUD,,
FY2020,161.001,105.334,51.659,32.1,-20.072,-12.5,,-19.941,-12.4,-0.0531,14.628,19.477,-4.849,205.4,1332.0330000000001,1126.633,1081.954,32.712,375.53700000000003,20.393,0.0,,,,,millions,AUD,1116.618,
FY2021,394.37,,,,-732.592,-185.8,,-678.148,-172.0,-1.3193,-887.915,13.392,-901.307,1123.438,3329.813,2206.375,2129.198,289.212,514.021,142.843,0.0,,,,,millions,AUD,1955.9470000000001,40.989000000000004
H1 FY2022,296.737,,,,-177.27100000000002,-59.7,,-211.374,-71.2,-0.3704,-629.611,15.847,-645.458,1164.632,,,,,588.835,43.081,0.0,,,,,millions,AUD,,
FY2022,621.403,,,,-1074.442,-172.9,,-1105.093,-177.8,-1.8126,-752.418,29.514,-781.932,437.749,3379.4120000000003,2941.663,2761.8250000000003,241.326,609.676,30.937,0.0,,,,,millions,AUD,2508.1240000000003,58.369
H1 FY2023,353.414,,,,-160.43800000000002,-45.4,,-242.514,-68.6,-0.3461,-226.187,12.124,-238.311,295.765,3563.5750000000003,3267.81,3030.7980000000002,153.86,765.366,13.526,0.0,,,,,millions,AUD,2757.045,115.794
FY2023,698.102,,,,-262.88,-37.7,,-377.015,-54.0,-0.5233,-225.02700000000002,24.568,-249.595,234.34,3394.7670000000003,3160.427,2918.376,151.955,720.457,14.25,0.0,,,,,millions,AUD,2596.832,123.955
H1 FY2024,433.874,,,,129.31300000000002,29.8,,73.033,16.8,0.0837,113.744,9.896,103.848,419.045,3374.174,2955.129,2569.8250000000003,160.662,991.6220000000001,5.54,0.0,,,,,millions,AUD,2624.856,143.174
FY2024,875.07,,,,69.282,7.9,,3.657,0.4,0.0038,272.537,17.482,255.055,398.533,3182.26,2783.727,2403.14,121.346,1126.66,6.62,0.0,,,,,millions,AUD,2398.592,231.66
H1 FY2025,514.045,,,,-27.608,-5.4,,23.005,4.5,0.0184,95.404,9.744,85.66,710.686,3596.0260000000003,2885.34,2329.853,194.744,1305.5910000000001,5.602,0.0,,,,,millions,AUD,2592.429,332.23900000000003
FY2025,1081.092,,,,26.704,2.5,,79.895,7.4,0.062,-49.809,19.493000000000002,-69.302,709.52,3504.668,2795.148,2410.629,148.964,1292.156,13.289,0.0,,,,,millions,AUD,2657.141,242.657
H1 FY2026,663.9830000000001,,,,66.763,10.1,,52.352000000000004,7.9,0.0408,136.395,9.843,126.552,664.1030000000001,3977.579,3313.476,2528.362,169.624,1270.684,10.796,0.0,,,,,millions,AUD,3009.7580000000003,367.34000000000003
FY2026,1347.358,,,,146.239,10.9,,116.383,8.6,0.0916,-85.883,23.007,-108.89,673.42,3866.847,3193.427,2746.041,202.741,1245.922,19.788,0.0,,,,,millions,AUD,3016.38,224.798
