Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CoreEPS,PurchaseOfIntangibles,ShareAwardSettlement
FY2015,24708.0,4646.0,20062.0,81.2,4114.0,16.7,6966.0,2825.0,11.4,2.23,3324.0,1328.0,1996.0,18509.0,60056.0,41547.0,15053.0,6240.0,1265.0,211.0,,,,,,millions,USD,,1460.0,342.0
H1 FY2016,11718.0,2066.0,9652.0,82.4,1341.0,11.4,2497.0,643.0,5.5,0.51,1374.0,584.0,790.0,15390.0,64369.0,48979.0,17579.0,3915.0,1265.0,,,,,,,millions,USD,,723.0,
FY2016,23002.0,4126.0,18876.0,82.1,4902.0,21.3,7259.0,3499.0,15.2,2.76,4145.0,1446.0,2699.0,16669.0,62526.0,45857.0,16808.0,5018.0,1266.0,241.0,,,,,,millions,USD,,868.0,281.0
H1 FY2017,10456.0,1844.0,8612.0,82.4,1842.0,17.6,3116.0,1014.0,9.7,0.8,338.0,549.0,-211.0,15412.0,65119.0,49707.0,19725.0,5239.0,1266.0,,,,,,,millions,USD,,167.0,
FY2017,22465.0,4318.0,18147.0,80.8,3677.0,16.4,6713.0,3001.0,13.4,2.37,3578.0,1326.0,2252.0,16642.0,63354.0,46712.0,17807.0,3324.0,1267.0,220.0,,,,,,millions,USD,,294.0,254.0
H1 FY2018,10333.0,2146.0,8187.0,79.2,1459.0,14.1,2852.0,690.0,6.7,0.54,-75.0,486.0,-561.0,14272.0,61344.0,47072.0,19667.0,2978.0,1267.0,,,,,,,millions,USD,,207.0,
FY2018,22090.0,4936.0,17154.0,77.7,3387.0,15.3,7140.0,2155.0,9.8,1.7,2618.0,1043.0,1575.0,14044.0,60651.0,46607.0,19113.0,4831.0,1267.0,219.0,,,,,,millions,USD,,328.0,212.0
H1 FY2019,11314.0,2192.0,9122.0,80.6,1590.0,14.1,2993.0,723.0,6.4,0.56,491.0,438.0,53.0,15071.0,61889.0,46818.0,19704.0,5428.0,1290.0,,,,,,,millions,USD,,1296.0,
FY2019,24384.0,4921.0,19463.0,79.8,2924.0,12.0,6686.0,1335.0,5.5,1.03,2969.0,979.0,1990.0,14596.0,61377.0,46781.0,18227.0,5369.0,1301.0,259.0,,,,,,millions,USD,3.5,1481.0,323.0
H1 FY2020,12629.0,2404.0,10225.0,81.0,2504.0,19.8,4055.0,1536.0,12.2,1.17,1179.0,370.0,809.0,13658.0,59929.0,46271.0,19747.0,5673.0,1313.0,,,,,,,millions,USD,,983.0,
