Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,AdjustedEBIT,AdjustedEBITMargin,AdjustedEPS,HealthcareEBIT,HealthcareEBITMargin,HealthcareOrganicGrowth,HealthcareRevenue,IndustrialEBIT,IndustrialEBITMargin,IndustrialOrganicGrowth,IndustrialRevenue,OrganicRevenueGrowth
H1 FY2015,847.3,486.9,360.4,42.53,118.3,13.96,,88.9,10.49,0.573,94.2,38.8,55.4,1140.5,2376.4,1209.8,,269.1,,,,,,,,millions,USD,,,,,,,,,,,,
FY2015,1645.1,949.0,696.1,42.31,245.3,14.91,,189.1,11.49,1.225,199.5,84.3,115.2,1166.6,2376.4,1209.8,741.1,281.4,,3.8,,,,,,millions,USD,,,,,,,,,,,,
H1 FY2016,784.8,470.6,314.2,40.04,99.3,12.65,,70.7,9.01,0.456,85.5,30.7,54.8,1110.3,2289.3,1179.0,745.2,261.1,,,,,,,,millions,USD,,,,,,,,,,,,
FY2016,1572.8,926.5,646.3,41.09,236.7,15.05,,161.9,10.29,1.051,232.3,67.2,165.1,1136.7,2290.6,1153.9,691.6,272.7,,-2.2,,,,,,millions,USD,,,,,,,,,,,,
H1 FY2017,775.8,450.8,325.0,41.89,104.6,13.48,,71.1,9.16,0.474,83.9,29.7,54.2,1150.9,2265.3,1114.4,659.1,251.2,,4.7,,,,,,millions,USD,,,,,,,,,,,,
FY2017,1374.5,833.3,541.2,39.37,177.8,12.94,,150.2,10.93,1.001,216.2,51.0,165.2,1228.7,2450.5,1221.8,720.5,316.6,,4.7,,,,,,millions,USD,,,,,,,,,,,,
H1 FY2018,722.2,449.6,272.6,37.75,63.7,8.82,,429.1,59.42,4.6,57.4,21.1,36.3,1562.9,2561.7,998.8,564.6,600.8,,2.2,,,,,,millions,USD,,,,,,,,,,,,
FY2018,1489.8,907.1,582.7,39.11,157.8,10.59,,486.2,32.63,3.368,153.6,45.7,107.9,1550.2,2522.5,972.3,552.0,582.8,142.3,10.4,,,,,,millions,USD,,,,,,,,,,,,
H1 FY2019,725.3,450.0,275.3,37.96,60.7,8.37,,40.1,5.53,0.286,57.4,20.5,36.9,1362.8,2339.5,976.7,546.6,417.9,,3.0,,,,,,millions,USD,,,,,,,,,,,,
FY2019,1499.0,915.0,584.0,38.96,157.3,10.49,,113.1,7.55,0.826,188.9,43.6,145.3,1410.4,2376.9,966.5,545.3,397.5,132.3,9.3,,,,,,millions,USD,,,,,,,795.3,,,,703.7,
H1 FY2020,753.3,461.2,292.1,38.78,91.8,12.19,,66.4,8.81,0.501,91.4,27.6,63.8,1386.1,2440.2,1054.1,579.5,387.4,,,,,,,,millions,USD,,,,,,,,,,,,
FY2020,1613.7,981.0,632.7,39.21,219.7,13.62,,160.1,9.92,1.218,290.9,64.8,226.1,1403.4,2448.6,1351.3,519.9,408.9,132.3,10.3,,,,,,millions,USD,,,,,,,894.6,,,,719.1,
H1 FY2021,937.8,559.6,378.2,40.33,147.4,15.72,,107.1,11.42,0.829,76.8,45.1,31.7,1503.6,2606.3,1102.7,522.6,353.1,,,,,,,,millions,USD,,,,,,,,,,,,
FY2021,2026.9,1216.9,810.0,39.96,338.0,16.68,,248.3,12.25,1.922,172.8,80.4,92.4,1564.6,2737.7,1173.1,451.7,240.2,130.1,30.1,,,,,,millions,USD,,,,,,,1236.2,,,,790.7,
H1 FY2022,1009.2,683.8,325.4,32.24,111.0,11.0,,77.6,7.69,0.606,32.5,32.6,-0.1,1547.2,2582.1,1034.9,504.1,179.8,,,,,,,,millions,USD,,,,,,,,,,,,
