Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency
FY2007,1205.34,786.168,419.1719999999999,34.78,91.773,7.61,113.992,66.608,5.53,0.013857142857142856,277.424,44.256,233.168,429.812,,,,177.439,4823.14,11.976,,millions,USD
H1-2008,663.797,452.892,210.90500000000003,31.77,49.511,7.46,64.283,39.923,6.01,0.008857142857142857,131.442,27.093,104.349,,,,,144.289,4503.87,6.035,,millions,USD
Q2 2008,337.614,230.087,107.52699999999999,31.85,34.201,10.13,42.389,26.579,7.87,0.006,67.38,14.662,52.718,,,,,144.289,4469.99,2.905,,millions,USD
Q3 2008,341.269,224.496,116.773,34.22,34.074,9.98,42.717,20.371,5.97,0.004714285714285714,60.495,9.226,51.269,,,,,111.524,4359.04,3.035,,millions,USD
FY2008,1364.661,910.234,454.427,33.3,121.506,8.9,153.96,83.026,6.08,0.018857142857142857,284.037,43.79,240.247,347.155,615.424,268.269,0.0,139.881,4398.52,12.264,,millions,USD
Q1 2009,394.098,259.268,134.83000000000004,34.21,36.471,9.25,45.646,22.363,5.67,0.005285714285714286,65.633,6.572,59.061,,,,,115.131,4249.63,3.132,,millions,USD
H1-2009,802.607,528.511,274.096,34.15,89.253,11.12,107.441,54.806,6.83,0.013000000000000001,140.935,13.505,127.43,324.371,591.993,267.622,,87.471,4212.74,6.41,,millions,USD
Q2 2009,408.509,269.243,139.26600000000002,34.09,52.782,12.92,61.795,32.443,7.94,0.007714285714285715,75.302,6.933,68.369,324.371,591.993,267.622,,87.471,4176.2,3.278,,millions,USD
Q3 2009,423.12,275.274,147.846,34.94,49.337,11.66,58.955,30.141,7.12,0.0074285714285714285,78.311,9.994,68.317,232.202,492.131,259.929,,55.717,4055.66,3.232,,millions,USD
FY2009,1670.269,1079.271,590.998,35.38,191.939,11.49,229.983,115.86,6.94,0.028285714285714286,325.063,45.932,279.131,199.143,679.734,480.591,200.0,134.224,4089.12,12.618,,millions,USD
Q1 2010,493.665,307.162,186.50300000000004,37.78,58.345,11.82,69.204,32.272,6.54,0.008428571428571428,77.205,6.393,70.812,146.735,648.293,501.558,200.0,79.861,3834.25,5.502,,millions,USD
H1-2010,1013.484,622.096,391.38800000000003,38.62,135.687,13.39,155.855,75.791,7.48,0.019857142857142854,137.457,12.064,125.393,176.64,693.972,517.332,,107.327,3818.36,12.43,,millions,USD
Q2 2010,519.819,314.934,204.88499999999993,39.41,77.342,14.88,86.651,43.519,8.37,0.011428571428571429,60.252,5.671,54.581,176.64,693.972,517.332,,107.327,3802.68,6.928,,millions,USD
Q3 2010,553.219,344.469,208.75000000000006,37.73,69.501,12.56,78.179,37.967,6.86,0.01,42.227,7.342,34.885,191.975,770.283,578.308,,113.108,3775.17,7.296,,millions,USD
Q4 2010,595.922,,,,,,,47.095,7.9,0.012428571428571428,,,,290.164,982.067,691.903,,194.499,,,,millions,USD
FY2010,2162.625,1357.355,805.27,37.24,283.641,13.12,321.74,160.853,7.44,0.04228571428571429,276.401,33.837,242.564,290.164,982.067,691.903,,194.499,3801.28,27.996,,millions,USD
Q1 2011,718.553,438.151,280.402,39.02,102.24,14.23,112.066,60.233,8.38,0.015857142857142858,116.323,16.32,100.003,275.722,1090.188,814.466,,150.419,3797.22,12.264,,millions,USD
H1-2011,1507.163,928.129,579.034,38.42,217.354,14.42,237.362,128.447,8.52,0.033857142857142856,202.715,24.946,177.769,334.034,1570.693,1236.659,,175.207,3785.39,27.8,,millions,USD
Q2 2011,788.61,489.978,298.632,37.87,115.114,14.6,125.296,68.214,8.65,0.018,86.392,8.626,77.766,334.034,1570.693,1236.659,,175.207,3773.63,15.536,,millions,USD
Q3 2011,821.839,536.617,285.2220000000001,34.71,96.842,11.78,108.755,62.46,7.6,0.01657142857142857,49.531,14.08,35.451,388.352,1961.558,1573.206,,159.199,3770.9,15.705,,millions,USD
Q4 2011,875.575,575.155,300.4200000000001,34.31,61.872,7.07,,35.219,4.02,0.009142857142857144,,,,642.81,3069.196,2426.386,,508.053,,,,millions,USD
FY2011,3204.577,2039.901,1164.6760000000002,36.34,376.068,11.74,419.815,226.126,7.06,0.05942857142857143,317.712,49.682,268.03,642.81,3069.196,2426.386,,508.053,3805.83,61.582,,millions,USD
Q1 2012,869.791,623.933,245.85800000000006,28.27,-1.935,-0.22,9.396,-4.584,-0.53,-0.001142857142857143,19.109,4.766,14.343,663.402,3480.459,2817.057,,395.992,3881.92,19.332,,millions,USD
H1-2012,1758.954,1267.361,491.59299999999985,27.95,14.219,0.81,36.597,1.58,0.09,0.00042857142857142855,38.516,8.125,30.391,688.226,3478.29,2790.064,,402.251,4121.46,37.782,,millions,USD
Q2 2012,889.163,643.428,245.735,27.64,16.154,1.82,27.201,6.164,0.69,0.0015714285714285715,19.407,3.359,16.048,688.226,3478.29,2790.064,,402.251,4116.63,18.45,,millions,USD
Q3 2012,905.089,662.638,242.45100000000002,26.79,16.135,1.78,27.263,7.675,0.85,0.0018571428571428571,-2.925,10.808,-13.733,716.84,3808.833,3091.993,,370.298,4111.03,18.472,,millions,USD
Q4 2012,945.239,,,,,,,7.897,0.84,0.0018571428571428571,,,,744.673,3967.89,3223.217,200.0,290.291,,,,millions,USD
FY2012,3609.282,2652.058,957.2240000000002,26.52,49.992,1.39,95.461,17.152,0.48,0.004142857142857143,21.586,40.278,-18.692,744.673,3967.89,3223.217,200.0,290.291,4123.28,73.948,,millions,USD
Q1 2013,1023.961,736.952,287.009,28.03,31.822,3.11,43.873,2.689,0.26,0.0007142857142857143,-12.25,12.118,-24.368,812.919,4363.289,3550.37,,418.051,4210.22,17.746,,millions,USD
H1-2013,2093.333,1497.626,595.7070000000001,28.46,88.939,4.25,113.016,32.16,1.54,0.007571428571428572,21.693,20.206,1.487,1105.622,4480.751,3375.129,500.0,370.678,4225.83,35.701,,millions,USD
Q2 2013,1069.372,760.674,308.6980000000001,28.87,57.117,5.34,69.143,29.471,2.76,0.007,33.943,8.088,25.855,1105.622,4480.751,3375.129,500.0,370.678,4241.3,17.955,,millions,USD
Q3 2013,1105.999,798.9,307.09900000000005,27.77,57.12,5.16,68.572,31.822,2.88,0.0074285714285714285,34.693,10.828,23.865,1204.37,4901.325,3696.955,500.0,439.056,4269.3,18.477,,millions,USD
Q4 2013,1175.23,,,,,,,48.421,4.12,0.011285714285714286,,,,1333.561,5412.563,4079.002,500.0,604.965,,,,millions,USD
FY2013,4374.562,3117.203,1257.359,28.74,228.347,5.22,276.721,112.403,2.57,0.026000000000000002,97.831,54.143,43.688,1333.561,5412.563,4079.002,500.0,604.965,4253.27,73.1,,millions,USD
Q1 2014,1270.089,869.186,400.9029999999999,31.56,97.595,7.68,109.977,53.115,4.18,0.012,36.359,13.334,23.025,1478.358,6048.106,4569.748,900.0,1157.45,4308.36,25.825,,millions,USD
H1-2014,2610.496,1784.034,826.462,31.66,227.195,8.7,252.554,124.133,4.76,0.028999999999999998,92.383,33.203,59.18,1609.705,6325.822,4716.117,900.0,1214.244,4311.41,55.11,,millions,USD
Q2 2014,1340.407,914.848,425.55899999999997,31.75,129.6,9.67,142.577,71.018,5.3,0.016,56.024,19.869,36.155,1609.705,6325.822,4716.117,900.0,1214.244,4314.41,29.285,,millions,USD
Q3 2014,1409.432,954.394,455.038,32.29,110.407,7.83,124.764,59.295,4.21,0.014000000000000002,-37.439,21.032,-58.471,1724.874,6778.329,5053.455,900.0,1183.217,4327.42,29.878,,millions,USD
Q4 2014,1484.728,,,,,,,83.371,5.62,0.019,,,,1857.708,7042.5,5184.792,885.849,1113.608,,,,millions,USD
FY2014,5504.656,3752.76,1751.8959999999997,31.83,402.648,7.31,456.676,266.799,4.85,0.062,16.483,69.726,-53.243,1857.708,7042.5,5184.792,885.849,1113.608,4318.94,115.239,,millions,USD
Q1 2015,1573.129,1046.401,526.7279999999998,33.48,97.456,6.2,112.623,23.696,1.51,0.005,-127.382,13.036,-140.418,1909.214,9240.626,7331.412,2400.0,2454.777,4338.09,27.441,,millions,USD
H1-2015,3217.823,2168.153,1049.67,32.62,172.291,5.35,203.039,50.031,1.55,0.012,-308.725,40.574,-349.299,2032.075,9654.861,7622.786,2400.0,2293.872,4349.58,56.031,,millions,USD
Q2 2015,1644.694,1121.752,522.942,31.8,74.835,4.55,90.416,26.335,1.6,0.006,-181.343,27.538,-208.881,2032.075,9654.861,7622.786,2400.0,2293.872,4360.97,28.59,,millions,USD
Q3 2015,1738.355,1173.958,564.3969999999999,32.47,73.641,4.24,89.688,29.432,1.69,0.007000000000000001,-195.969,37.82,-233.789,2167.318,9916.267,7748.949,2400.0,2115.437,4376.06,32.834,,millions,USD
Q4 2015,1823.333,,,,,,,43.178,2.37,0.01,,,,2223.426,10202.871,7979.445,2371.362,1809.33,,,,millions,USD
FY2015,6779.511,4591.476,2188.0350000000008,32.27,305.826,4.51,368.109,122.641,1.81,0.028000000000000004,-749.439,91.248,-840.687,2223.426,10202.871,7979.445,2371.362,1809.33,4364.56,124.725,,millions,USD
Q1 2016,1957.736,1418.581,539.1550000000002,27.54,49.453,2.53,64.251,27.658,1.41,0.006,-228.59,8.425,-237.015,2317.233,11262.274,8945.041,2372.218,1605.244,4379.93,42.422,,millions,USD
H1-2016,4062.94,2842.638,1220.3020000000001,30.03,119.823,2.95,148.752,68.413,1.68,0.016,-454.883,19.239,-474.122,2415.834,11593.507,9177.673,2373.085,1390.925,4380.73,86.534,,millions,USD
Q2 2016,2105.204,1525.397,579.8070000000002,27.54,70.37,3.34,84.501,40.755,1.94,0.009,-226.293,10.814,-237.107,2415.834,11593.507,9177.673,2373.085,1390.925,4381.54,44.112,,millions,USD
Q3 2016,2290.188,1593.768,696.4200000000001,30.41,106.036,4.63,120.446,51.517,2.25,0.012,-461.941,27.366,-489.307,2528.966,12347.338,9818.372,2373.966,969.158,4383.89,43.495,,millions,USD
Q4 2016,2477.541,1719.716,757.8250000000003,30.59,153.934,6.21,,66.748,2.69,0.015,,,,2679.8,13586.61,10906.81,3364.311,1467.576,,,,millions,USD
FY2016,8830.669,6257.462,2573.2069999999994,29.14,379.793,4.3,437.321,186.678,2.11,0.043,-1473.984,107.653,-1581.637,2679.8,13586.61,10906.81,3364.311,1467.576,4386.52,173.675,,millions,USD
Q1 2017,2636.635,1740.731,895.9040000000002,33.98,256.942,9.75,271.991,178.222,6.76,0.04,-343.856,52.523,-396.379,2973.683,14359.096,11385.413,3365.431,1077.824,4454.58,44.888,,millions,USD
H1-2017,5422.099,3559.332,1862.7670000000003,34.36,384.749,7.1,418.349,243.822,4.5,0.05500000000000001,-878.384,117.754,-996.138,3112.5,16517.223,13404.723,4836.502,1918.777,4458.62,88.916,,millions,USD
Q2 2017,2785.464,1991.696,793.768,28.5,127.807,4.59,146.358,65.6,2.36,0.015,-534.528,65.231,-599.759,3112.5,16517.223,13404.723,4836.502,1918.777,4462.62,44.028,,millions,USD
Q3 2017,2984.859,2086.239,898.6199999999999,30.11,208.627,6.99,227.865,129.59,4.34,0.028999999999999998,-419.607,33.963,-453.57,3327.361,16951.54,13624.179,4888.783,1746.469,4473.62,44.763,,millions,USD
Q4 2017,3285.755,2214.334,1071.4210000000003,32.61,245.303,7.47,,185.517,5.65,0.040999999999999995,,,,3581.956,19012.742,15430.786,6499.432,2822.795,,,,millions,USD
FY2017,11692.713,8033.0,3659.7129999999997,31.3,838.679,7.17,910.59,558.929,4.78,0.125,-1785.948,173.302,-1959.25,3581.956,19012.742,15430.786,6499.432,2822.795,4468.14,182.209,,millions,USD
