Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,DiscontinuedOpsProfit,GrossBookings,NetIncomeContinuing,UnderlyingEBIT,UnderlyingEBITDA,UnderlyingEPS,UnderlyingNPAT
H1 FY2016,72.2,,,,15.3,21.2,18.2,10.7,14.8,,6.0,4.2,1.8,88.5,213.4,124.9,23.1,69.6,,0.1,,,,,,millions,AUD,,,,,,,
FY2016,152.0,,,,30.6,20.1,36.6,21.3,14.0,0.2578,46.6,9.1,37.5,150.6,385.8,235.2,55.5,116.2,82.5,0.1,,,,,,millions,AUD,,,,,,,
H1 FY2017,95.7,,,,43.6,45.6,49.7,39.4,41.2,,-1.4,42.0,-43.4,212.3,423.6,211.4,56.6,95.0,,1.1,,,,,,millions,AUD,,,,,,,
FY2017,185.6,,,,61.7,33.2,69.9,52.4,28.2,0.5287,34.8,17.5,17.3,216.3,492.8,276.5,49.5,178.1,99.2,1.1,,,,,,millions,AUD,,,,,,,
H1 FY2018,131.9,,,,29.8,22.6,40.0,18.4,13.9,0.1628,-6.4,13.0,-19.4,418.0,959.4,541.4,164.1,126.9,113.0,0.5,,,,,,millions,AUD,,,,,,,
FY2018,291.0,,,,65.3,22.4,87.3,41.5,14.3,0.3561,120.9,28.4,92.5,442.8,1083.6,640.8,122.7,190.8,116.5,,,,,,,millions,AUD,,,,,,,
H1 FY2019,175.3,,,,38.7,22.1,51.9,25.2,14.4,0.206,-26.2,14.1,-40.3,640.6,1480.4,839.8,213.0,182.7,122.3,0.6,,,,,,millions,AUD,,,,,,,
FY2019,366.4,,,,88.1,24.0,124.1,60.3,16.5,0.468,45.7,32.7,13.0,644.2,1521.7,877.5,205.9,211.4,128.8,1.1,,,,,,millions,AUD,,,,,,,
H1 FY2020,217.8,,,,21.7,10.0,46.9,9.0,4.1,0.066,4.9,15.5,-10.6,625.5,1421.6,796.1,191.7,157.2,136.4,,,,,,,millions,AUD,,,,,,,
FY2020,266.1,,,,-142.1,-53.4,-90.5,-143.5,-53.9,-0.821,-250.8,30.4,-281.2,805.1,1215.5,410.4,186.9,209.6,174.8,1.3,,,,,,millions,AUD,,,,,,,
FY2021-9mo,38.5,,,,-162.5,-422.1,-129.1,-156.6,-406.8,-0.462,-32.3,14.4,-46.7,607.1,1180.0,572.9,254.0,261.0,339.0,4.1,,,,,,millions,AUD,,,,,,,
H1 FY2021,22.6,,,,-136.1,-602.2,-114.1,-132.2,-585.0,-0.39,-16.9,9.9,-26.8,636.2,1220.7,584.5,260.1,283.0,339.0,,,,,,,millions,AUD,,,,,,,
H1 FY2022,55.4,,,,-59.4,-107.2,-37.9,-60.0,-108.3,-0.159,32.8,9.6,23.2,,,,,446.1,377.4,5.0,,,,,,millions,AUD,,,,,,,
FY2022,138.0,,,,-85.5,-62.0,-42.2,-81.6,-59.1,-0.215,71.5,21.4,50.1,738.4,1405.8,667.4,307.8,433.7,380.5,9.6,,,,,,millions,AUD,,1637.5,,-40.4,-15.1,-0.092,
H1 FY2023,175.7,,,,13.9,7.9,63.0,4.0,2.3,0.01,168.0,14.0,154.0,791.2,1592.3,801.1,228.4,503.9,,4.2,,,,,,millions,AUD,,,,,,,
FY2023,364.3,,,,40.5,11.1,109.1,14.5,4.0,0.038,176.3,34.1,142.2,834.2,1588.2,754.0,235.3,513.9,382.7,7.6,,,,,,millions,AUD,,4345.5,,90.3,134.8,0.183,
H1 FY2024,244.4,,,,65.7,26.9,87.5,47.3,19.4,0.122,168.7,23.1,145.6,904.9,1818.1,913.2,242.3,633.8,387.7,3.0,,,175.1,,,millions,AUD,,,,,,,
FY2024,471.3,,,,106.6,22.6,152.1,68.0,14.4,0.161,183.8,41.4,142.4,861.8,1796.9,935.1,224.3,630.1,387.5,6.7,,,320.0,,,millions,AUD,-10.6,5585.0,78.6,156.6,186.3,0.329,
H1 FY2025,170.4,,,,47.9,28.1,65.3,228.1,133.9,0.527,85.2,31.8,53.4,712.6,1644.2,931.6,230.3,510.0,,6.5,,,170.4,,,millions,AUD,190.6,,37.5,,,,
FY2025,328.4,,,,27.0,8.2,77.7,201.5,61.4,0.486,77.8,43.7,34.1,575.1,1525.1,950.0,236.5,363.6,368.6,8.0,,,328.4,120.6,,millions,AUD,190.4,4868.3,11.1,98.0,120.6,0.205,79.2
H1 FY2026,204.6,,,,49.5,24.2,72.6,26.9,13.1,0.074,120.5,18.6,101.9,603.3,1704.2,1100.9,243.0,481.1,,3.6,,,204.6,,,millions,AUD,,,26.9,,,,
FY2026,394.1,,,,77.7,19.7,124.5,35.5,9.0,0.097,132.4,37.2,95.2,582.0,1543.7,961.7,249.6,448.1,361.3,6.7,,,394.1,148.4,,millions,AUD,,5823.0,35.5,116.4,148.4,0.238,85.9
