Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,OperatingExpenses,ResearchDevelopment,SGA,ComputeNetworkingRevenue,GraphicsRevenue,DataCenterRevenue,GamingRevenue,ProfessionalVisualizationRevenue,AutomotiveRevenue,CashAndInvestments,SharesOutstanding_alt,Extra1
FY2015,4682,2278,2404,51.3,170,3.6,,-157,-3.4,-0.01,1666,624,1042,2124,,5907,2912,3783,24850,,,millions,USD,2234,1331,903,,,,,,,1199,1987,25100
FY2016,5010,2447,2563,51.2,235,4.7,,614,12.3,0.02,1672,778,894,2952,,7201,3292,4249,25390,,,millions,USD,2328,1386,942,,,,,,,1423,1951,25840
FY2017,6910,2847,4063,58.8,1224,17.7,,1666,24.1,0.07,2676,1185,1491,3933,,10188,4408,6255,24400,,,millions,USD,2839,1797,1042,,,,,,,2182,1985,25370
FY2018,9714,3892,5822,59.9,2235,23.0,,3047,31.4,0.12,3399,1357,2042,5184,,13292,6024,8108,25200,,,millions,USD,3587,2376,1211,,,,,,,2827,1986,25960
FY2019,11716,4545,7171,61.2,2878,24.6,,4141,35.3,0.16,3743,1748,1995,4787,,13775,9370,8988,25200,,,millions,USD,4293,2838,1455,,,,,,,782,1987,25920
FY2020,10918,5265,5653,51.8,1261,11.5,,2796,25.6,0.11,5822,2792,3030,6002,,17315,14353,11313,26000,,,millions,USD,4392,2855,1537,,,,,,,10896,1988,27260
FY2021,16675,6279,10396,62.3,4532,27.2,,4332,26.0,0.16,6776,2080,4696,11700,,28791,11561,17091,26800,,,millions,USD,5864,3924,1940,,,,,,,847,1993,27750
FY2022,26914,9439,17475,64.9,10041,37.3,,9752,36.2,0.38,10810,2678,8132,17082,,44187,21606,27105,25350,,,millions,USD,7434,5268,2166,,,,,,,1990,2000,28030
Q1 FY2023,8288,2857,5431,65.5,1868,22.5,,1618,19.5,0.06,,,,18892,138,45212,20338,26320,25370,,,millions,USD,3563,1618,592,,3672,4616,3750,3620,622,3887,10947,25270
Q2 FY2023,6704,3789,2915,43.5,499,7.4,,656,9.8,0.03,,,,19625,220,43476,17037,23851,25160,,,millions,USD,2416,1824,592,,2797,3907,3806,2042,496,3013,10949,25050
Q3 FY2023,5931,2754,3177,53.6,601,10.1,,680,11.5,0.03,,,,19139,251,40488,13143,21349,24990,,,millions,USD,2576,1945,631,,3816,2115,3833,1574,200,2800,10950,24970
FY2023,26974,11618,15356,56.9,4224,15.7,,4368,16.2,0.17,5641,1833,5641,22101,41182,19081,10953,3389,25070,,,millions,USD,11132,7339,2440,,,,9067,1544,903,13296,24660,
Q1 FY2024,7192,2544,4648,64.6,2140,29.7,,2043,28.4,0.08,,,,19940,296,44460,15320,24520,24900,,,millions,USD,2508,1875,633,,4460,2732,4284,2240,295,5079,10954,24760
Q2 FY2024,13507,4045,9462,70.1,6800,50.3,,6188,45.8,0.25,,,,22054,253,49555,16023,27501,24990,,,millions,USD,2662,2040,622,,10402,3105,10323,2486,379,5783,9705,24700
Q3 FY2024,18120,4720,13400,73.9,10417,57.5,,9243,51.0,0.37,,,,20883,261,54148,18281,33265,24940,,,millions,USD,2983,2294,689,,14645,3475,14514,2856,416,5519,9706,24630
FY2024,60922,16621,44301,72.7,32972,54.1,,29760,48.9,1.19,28090,1069,27021,42978,65728,22750,9709,7280,24940,,,millions,USD,11329,8675,2654,47405,13517,47525,10447,1553,1091,25984,24640,
Q1 FY2025,26044,5638,20406,78.4,16909,64.9,,14881,57.1,0.60,,,,27930,329,77072,31438,49142,24890,,,millions,USD,3497,2720,777,,22675,3369,22563,2647,427,7587,9710,24600
Q2 FY2025,30040,6397,23643,78.7,19714,65.6,,16599,55.2,0.67,,,,27070,346,85227,34800,58157,24848,,,millions,USD,3932,3090,842,,26446,3594,26272,2880,454,8563,8461,24560
Q3 FY2025,35082,8926,26156,74.6,21869,62.3,,19309,55.0,0.78,,,,30114,449,96013,38487,65899,24774,,,millions,USD,4287,3390,897,,31036,4046,30771,3279,486,9107,8462,24510
FY2025,130497,32639,97858,75.0,81453,62.4,,72880,55.8,2.94,64089,3236,60853,79327,111601,32274,8463,8589,24804,,,millions,USD,16405,12914,3491,116193,14304,115186,11350,1878,1694,43210,24477,
Q1 FY2026,44062,17394,26668,60.5,21638,49.1,,18775,42.6,0.76,,,,41411,567,125254,53691,83843,24611,,,millions,USD,5030,3989,1041,,39589,4473,39112,3763,509,15234,8464,24388
Q2 FY2026,46743,12890,33853,72.4,28440,60.8,,26422,56.5,1.08,,,,40609,586,140740,56791,100131,24532,,,millions,USD,5413,4291,1122,,41331,5412,41096,4287,601,11639,8466,24347
Q3 FY2026,57006,15157,41849,73.4,36010,63.2,,31910,56.0,1.30,,,,42251,592,161148,60608,118897,24483,,,millions,USD,5839,4705,1134,,50908,6098,51215,4265,760,11486,8467,24305
FY2026,215938,62475,153463,71.1,130387,60.4,,120067,55.6,4.90,102718,6042,96676,157293,206803,49510,8468,10605,24514,,,millions,USD,23076,18497,4579,193479,22459,193737,16042,3191,2349,62556,24304,
Q1 FY2027,81615,20458,61157,74.9,53536,65.6,,58321,71.5,2.39,50344,1757,48587,195474,259474,64000,8470,13237,24391,,,millions,USD,7621,6321,1300,74550,7065,75246,,,,80572,24286,
