Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,NetIncome,EPS,FreeCashFlow,StoreCount,ComparableSales,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,CapEx,InventoryTurnover
FY2016,2344.4,1199.6,51.2,421.2,18.0,303.4,2.21,235.6,406,6.0,1360.0,0.0,734.8,137.3,149.5,3.9
FY2017,2649.2,1398.8,52.8,456.0,17.2,258.7,1.90,331.5,404,7.0,1597.0,0.0,990.5,136.2,157.9,4.0
FY2018,3288.3,1816.3,55.2,705.8,21.5,483.8,3.61,517.0,440,18.0,1446.0,0.0,881.3,134.0,225.8,4.0
FY2019,3979.3,2223.4,55.9,889.1,22.3,645.6,4.93,386.3,491,17.0,1952.2,0.0,1093.5,131.0,283.0,3.8
FY2020,4401.9,2464.0,56.0,820.0,18.6,588.9,4.50,574.1,521,,2558.6,0.0,1150.5,130.9,229.2,3.3
FY2021,6256.6,3608.6,57.7,1333.4,21.3,975.3,7.49,994.6,574,,2740.0,0.0,1259.9,130.3,394.5,3.3
Q1 FY2022,1613.5,870.4,53.9,260.3,16.1,190.0,1.48,-354.7,579,,2668.1,0.0,649.0,128.5,111.4,
Q2 FY2022,1868.3,1055.5,56.5,401.2,21.5,289.5,2.26,-46.8,600,,2857.8,0.0,498.8,127.9,144.7,
Q3 FY2022,1856.9,1038.9,55.9,352.4,19.0,255.5,2.00,-109.8,623,,3039.2,0.0,352.6,127.8,175.6,
FY2022,8110.5,4492.3,55.4,1328.4,16.4,854.8,6.68,327.8,655,25.0,3148.8,0.0,1154.9,128.0,638.7,3.0
Q1 FY2023,2000.8,1150.8,57.5,401.4,20.1,290.4,2.28,-91.4,662,,3320.1,0.0,950.6,127.6,136.9,
Q2 FY2023,2209.2,1298.5,58.8,479.3,21.7,341.6,2.68,331.1,672,,3533.5,0.0,1107.5,127.3,145.6,
Q3 FY2023,2204.2,1256.7,57.0,338.1,15.3,248.7,1.96,227.0,686,,3525.8,0.0,1091.1,126.8,162.9,
FY2023,9619.3,5609.4,58.3,2132.7,22.2,1550.2,12.20,1644.3,711,13.0,4232.1,0.0,2244.0,127.1,651.9,2.9
Q1 FY2024,2208.9,1275.1,57.7,432.6,19.6,321.4,2.54,-3.2,711,,4219.8,0.0,1900.7,126.3,130.7,
Q2 FY2024,2371.1,1412.2,59.6,540.2,22.8,392.9,3.15,298.1,721,,4031.6,0.0,1610.1,124.9,145.1,
Q3 FY2024,2396.7,1401.6,58.5,490.7,20.5,351.9,2.87,122.1,749,,3985.7,0.0,1188.4,122.8,178.5,
FY2024,10588.1,6270.8,59.2,2505.7,23.7,1814.6,14.64,1583.5,767,4.0,4324.0,0.0,1984.3,123.9,689.2,3.1
Q1 FY2025,2370.7,1383.1,58.3,438.6,18.5,314.6,2.60,-271.3,770,,4289.6,0.0,1325.3,120.8,152.3,
Q2 FY2025,2525.2,1477.2,58.5,523.8,20.7,370.9,3.10,150.8,784,,4387.3,0.0,1155.8,119.7,177.9,
Q3 FY2025,2565.9,1425.9,55.6,435.9,17.0,306.8,2.59,82.5,796,,4502.0,0.0,1035.9,118.6,167.4,
FY2025,11102.6,6284.1,56.6,2210.6,19.9,1579.2,13.26,921.7,811,2.0,4961.8,0.0,1807.2,119.1,680.8,3.1
