Period,Revenue,GrossProfit,GrossMargin,OperatingIncome,NetIncome,EPS,FreeCashFlow,OperatingCashFlow,CapEx,ShareholdersEquity,TotalDebt,CashAndEquivalents,SharesOutstanding,VehicleSales,NEVSales,RnDExpense
Q1 2015,15282.5,,,,120.9,0.05,,3937.0,,25498.0,,,2476.0,,,
Q2 2015,15152.3,,,,345.8,,,-915.0,,,,,,,,
Q3 2015,16911.2,,,,1494.7,0.60,,,,28976.5,,,2476.0,,,
Q4 2015,29118.3,,,,861.9,,,,,,,,,,
FY2015,77611.9,11859.2,15.3,3795.0,2823.4,1.12,-249.0,3842.1,4091.0,32294.4,37642.0,6010.9,2476.0,,,1998.5
Q1 2016,20285.2,,,,850.7,0.32,,-1253.3,,33100.7,,,2476.0,,,
Q2 2016,23460.3,,,,1409.0,,,-175.2,,,,,,,,
Q3 2016,27848.2,,,,1404.4,0.53,,-1400.4,,50567.7,37038.7,7588.5,2728.1,,,
Q4 2016,27409.9,,,,1388.1,,,983.3,,51255.9,,7111.2,,,,
FY2016,100207.7,19018.3,19.0,6568.4,5052.2,1.88,-6684.7,-1845.6,4839.1,51255.9,32621.0,7111.2,2728.1,,,
Q1 2017,21046.1,,,,605.8,0.20,,-2418.3,,,,,,,,
Q2 2017,22770.9,,,,1117.1,,,-1051.9,,,,,,,,
Q3 2017,28895.3,,,,1068.5,0.37,,4166.2,,,,,,,,
Q4 2017,28717.7,,,,1275.1,,,5671.9,,55004.2,,8936.0,,,,
FY2017,102650.6,17935.1,17.5,5620.6,4066.5,1.40,-1068.3,6367.9,7436.2,55004.2,35108.0,8936.0,2728.1,,,4989.4
Q1 2018,24737.6,,,,102.4,0.02,,-218.0,,,,,,,,
Q2 2018,27425.3,,,,376.7,,,-1388.6,,,,,,,,
Q3 2018,34830.4,,,,1048.0,0.36,,8257.0,,,,,,,,
Q4 2018,32809.6,,,,1253.1,,,5872.5,,55198.3,,11674.3,,,,
FY2018,121790.9,18066.8,14.8,4385.6,2780.2,0.93,1891.6,12522.9,10631.3,55198.3,38437.0,11674.3,2728.1,,,
Q1 2019,30304.1,,,,749.7,0.25,,407.9,,,,,,,,
Q2 2019,28910.9,,,,704.9,,,-2472.4,,,,,,,,
Q3 2019,31637.5,,,,119.7,0.02,,5897.2,,,,,,,,
Q4 2019,27956.3,,,,40.2,,,10908.3,,56762.3,,11674.3,,,,
