Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,NetSalesLots,Presales,Settlements
FY2015,178.637,-100.387,78.25,43.8,,,,42.585,23.8,0.543,8.548,17.068,-8.52,285.605,383.33,97.725,29.794,1.886,,,,,,,,millions,AUD,,,
H1 FY2016,77.048,-33.896,43.152,56.0,,,,18.113,23.5,0.116,-34.098,,-34.098,291.094,457.092,165.998,78.679,3.378,,,,,,,,millions,AUD,,,
FY2016,175.159,-77.786,97.373,55.6,,,,43.602,24.9,0.553,4.267,5.708,-1.441,307.188,452.729,145.541,52.041,1.697,78966.99,0.0,0.29,,,,,millions,AUD,,,
H1 FY2017,56.568,-31.461,25.107,44.4,,,,3.023,5.3,0.038,-21.556,,-21.556,297.285,484.295,187.01,91.398,1.469,,,,,,,,millions,AUD,,,
FY2017,222.269,-119.789,102.48,46.1,,,,45.445,20.4,0.576,0.605,6.657,-6.052,330.234,505.624,175.39,87.34,8.4,79110.619,0.07,0.31,,,,,millions,AUD,,,
H1 FY2018,54.264,-30.812,23.452,43.2,,,,3.22,5.9,0.041,-69.842,,-69.842,319.402,585.241,265.839,170.324,4.947,,,,,,,,millions,AUD,,,
FY2018,239.661,-138.122,101.539,42.4,,,,42.603,17.8,0.539,-6.545,4.865,-11.41,353.186,601.516,248.33,132.826,23.692,79331.776,0.238,0.32,,,,,millions,AUD,,,
H1 FY2019,204.097,-131.614,65.97,32.3,45.425,22.3,,30.807,15.1,,-16.981,,-16.981,373.266,563.584,190.318,140.971,2.65,,,,,,,,millions,AUD,,,
FY2019,375.149,-253.284,114.574,30.5,71.992,19.2,,48.644,13.0,0.609,33.089,4.085,29.004,376.53,571.711,195.181,118.756,13.442,80332.583,-0.015,0.32,,,,,millions,AUD,,,
H1 FY2020,128.786,-90.292,38.494,29.9,16.062,12.5,,10.207,7.9,,-28.073,,-28.073,377.83,644.68,266.85,146.972,3.686,,,,,,,,millions,AUD,,,
FY2020,260.66,-185.711,74.949,28.8,31.903,12.2,,20.387,7.8,0.254,-15.491,1.272,-16.763,378.685,644.055,265.37,145.362,2.691,80873.241,0.161,0.115,,,,,millions,AUD,,,
H1 FY2021,169.185,-113.965,55.22,32.6,34.293,20.3,,22.44,13.3,,4.582,,4.582,397.855,631.145,233.29,147.483,4.892,,,,,,,,millions,AUD,,,
FY2021,299.751,-207.673,92.078,30.7,50.576,16.9,,32.834,11.0,0.407,41.587,1.982,39.605,400.361,651.8,251.439,118.714,5.386,81457.949,0.976,0.26,,,,,millions,AUD,,,
H1 FY2022,174.408,-131.675,42.733,24.5,21.693,12.4,,14.066,8.1,,-75.049,,-75.049,408.21,723.161,314.951,201.591,5.603,,,,,,,,millions,AUD,,,
FY2022,333.036,-236.636,96.4,28.9,54.06,16.2,,37.388,11.2,0.457,-65.836,1.237,-67.073,421.223,796.387,375.164,201.645,2.957,82663.261,0.922,0.28,,,,,millions,AUD,,,
H1 FY2023,152.282,-114.387,37.895,24.9,14.556,9.6,,9.063,6.0,,-21.249,,-21.249,419.006,827.582,408.576,238.298,4.912,,,,,,,,millions,AUD,,,
FY2023,391.303,-294.059,97.244,24.9,49.787,12.7,,31.635,8.1,0.385,23.702,2.321,21.381,431.102,783.398,352.296,202.608,6.802,83189.028,0.855,0.27,,,,,millions,AUD,,,
H1 FY2024,123.213,-90.928,32.285,26.2,8.006,6.5,,2.641,2.1,,-79.394,,-79.394,428.569,838.382,409.813,280.649,6.672,,,,,,,,millions,AUD,,,
FY2024,386.348,-290.634,95.714,24.8,68.208,17.7,,40.494,10.5,0.492,31.211,1.724,29.487,460.791,743.592,282.801,142.039,21.945,83501.83,1.32,0.28,,,,,millions,AUD,,,
H1 FY2025,195.879,-144.329,51.55,26.3,28.497,14.5,,15.006,7.7,,-43.178,,-43.178,462.817,778.772,315.955,188.345,3.071,,,,,,,,millions,AUD,,,
FY2025,465.94,-333.674,132.266,28.4,84.718,18.2,,48.14,10.3,0.584,34.593,0.726,33.867,489.195,857.684,368.489,134.192,8.569,83828.395,1.907,0.29,,,,,millions,AUD,1263.0,,1124.0
H1 FY2026,274.806,-188.939,85.867,31.2,62.197,22.6,,39.551,14.4,,44.109,,44.109,529.791,853.923,324.132,104.326,19.201,,,,,,,,millions,AUD,,,
FY2026,502.376,-347.938,154.438,30.7,103.366,20.6,,65.643,13.1,0.779,-2.057,1.086,-3.143,544.545,884.272,339.727,165.469,7.804,85504.466,1.763,0.39,,,,,millions,AUD,1326.0,830000.0,1068.0
