Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,ProductRevenue,SubscriptionRevenue,DeferredRevenue,RPO,NGSecurity_ARR,Extra1
FY2015,928.1,,676.6,72.9,-133.5,,,-165.0,,-0.32,,,316.5,487.9,,,487.1,789.0,508.8,350.3,,,,492.7,435.4,713.7,,,221.3
FY2016,1378.5,,1008.5,73.2,-190.1,,,-225.9,,-0.43,,,585.6,789.9,,,508.2,1285.6,543.0,658.1,,,,670.8,707.7,1240.8,,,392.8
FY2017,1761.6,,1285.0,72.9,-179.8,,,-216.6,,-0.40,,,705.1,759.6,,,524.7,1375.0,549.0,868.5,,,,709.1,1052.5,1773.5,,,474.5
FY2018,2273.1,,1627.8,71.6,-129.1,,,-147.9,,-0.27,,,925.0,966.4,,,1920.1,3403.4,561.6,1037.0,,,,871.5,1401.6,2364.9,,,496.7
FY2019,2899.6,,2091.2,72.1,-54.1,,,-81.9,,-0.14,,,924.4,1586.3,,,1430.0,2803.1,580.8,1055.6,,,,1096.2,1803.4,2888.7,3100.0,,567.7
FY2020,3408.4,,2408.9,70.7,-179.0,,,-267.0,,-0.46,,,821.3,1101.8,,,3084.1,3747.8,577.8,1035.7,,,,1064.2,2344.2,3810.2,4300.0,,658.4
FY2021,4256.1,,2981.2,70.1,-304.1,,,-498.9,,-0.86,,,1387.0,634.5,,,3226.0,2901.1,583.8,1503.0,,,,1120.3,3135.8,5024.0,5900.0,,894.5
Q1 2022,1247.4,,866.8,69.5,-82.7,,,-103.6,,-0.18,,,554.3,,,,,,,588.9,,,,295.5,951.9,,,,259.1
Q2 2022,1316.9,,911.6,69.2,-73.9,,,-93.5,,-0.16,,,401.9,,,,,,,482.6,,,,308.0,1008.9,,,,265.1
Q3 2022,1386.7,,946.2,68.3,-47.6,,,-73.2,,-0.12,,,351.2,,,,,,,389.5,,,,351.5,1035.2,,,,247.3
FY2022,5501.5,,3782.8,68.8,-188.8,,,-267.0,,-0.45,,,1791.9,210.0,,,3676.8,3634.5,597.6,1984.7,,,,1363.1,4138.4,6994.0,8200.0,,1011.1
Q1 2023,1563.4,,1101.5,70.5,15.2,,,20.0,,0.03,,,1197.1,,,,,,,1236.7,,,,330.0,1233.4,,,,266.0
Q2 2023,1655.1,,1188.9,71.8,39.9,,,84.2,,0.13,,,656.3,,,,,,,694.6,,,,352.9,1302.2,,,,283.3
Q3 2023,1720.9,,1246.1,72.4,78.7,,,107.8,,0.16,,,400.9,,,,,,,432.1,,,,388.1,1332.8,,,,271.0
FY2023,6892.7,,4983.0,72.3,387.3,,,439.7,,0.64,,,2631.2,1748.4,,,1991.5,2390.0,616.6,2777.5,,,,1578.4,5314.3,9296.4,10600.0,,1074.5
Q1 2024,1878.1,,1405.3,74.8,215.2,,,194.2,,0.28,,,1489.2,,,,,,,1526.0,,,,341.1,1537.0,,,,271.0
Q2 2024,1975.1,,1476.0,74.7,53.6,,,1746.9,,2.44,,,654.8,,,,,,,690.0,,,,390.7,1584.4,,,,272.0
Q3 2024,1984.8,,1471.2,74.1,176.7,,,278.8,,0.39,,,491.5,,,,,,,528.9,,,,391.0,1593.8,,,,263.5
FY2024,8027.5,,5968.3,74.3,683.9,,,2577.6,,3.64,3257.6,,3100.8,5169.7,,,963.9,2578.8,650.2,1075.4,,,,1603.3,6424.2,11480.5,12700.0,4200.0,
Q1 2025,2138.8,,1584.7,74.1,286.5,,,350.7,,0.49,1509.6,,1465.5,,,,,,,294.3,,,,353.8,1785.0,,12600.0,4500.0,
Q2 2025,2257.4,,1658.2,73.5,240.4,,,267.3,,0.38,556.9,,509.4,,,,,,,320.5,,,,421.5,1835.9,,13000.0,4800.0,
Q3 2025,2289.0,,1669.7,72.9,218.8,,,262.1,,0.37,628.7,,560.4,,,,,,,325.9,,,,452.7,1836.3,,13500.0,5100.0,
FY2025,9221.5,,6769.9,73.4,1242.9,,,1133.9,,1.60,3716.0,,3469.8,7824.4,,,0.0,2903.2,667.9,1295.1,,,,1801.9,7419.6,12751.9,15800.0,5600.0,
Q1 2026,2474.0,,1836.0,74.2,309.0,,,334.0,,0.47,1771.0,,1687.0,,,,,,,370.0,,,,434.0,2040.0,,15500.0,5900.0,
Q2 2026,2594.0,,1909.0,73.6,397.0,,,432.0,,0.61,554.0,,384.0,,,,,,,301.0,,,,514.0,2080.0,,16000.0,6300.0,
Q3 2026,3002.0,,2028.0,67.6,-183.0,,,-177.0,,-0.22,871.0,,788.0,27668.0,,,1352.0,2364.0,813.0,643.0,,,,594.0,2408.0,,18400.0,8100.0,
