Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,EBITDABeforeSignificant,RevenueContinuing,EBITDAContinuingBeforeSignificant,EBITContinuingBeforeSignificant,Units,Currency,CapitalReturn,InterestPaid
FY2017,19232.0,15968.0,3264.0,17.0,1120.0,5.8,1646.0,745.0,3.9,0.46,1376.0,793.0,583.0,7248.0,17842.0,10594.0,6263.0,393.0,1604.744,0.0,,,,,,millions,NZD,0.0,393.0
H1-2018,9839.0,8177.0,1662.0,16.9,-176.0,-1.8,99.0,-348.0,-3.5,-0.22,-292.0,474.0,-766.0,6688.0,20161.0,13473.0,7612.0,359.0,1608.821,0.0,,,,,,millions,NZD,0.0,199.0
FY2018,20438.0,17279.0,3159.0,15.5,262.0,1.3,806.0,-196.0,-1.0,-0.14,1548.0,1005.0,543.0,6349.0,18015.0,11666.0,6738.0,446.0,1610.005,0.0,,,,,,millions,NZD,0.0,446.0
H1-2019,9746.0,8246.0,1500.0,15.4,323.0,3.3,607.0,80.0,0.8,0.05,-612.0,358.0,-970.0,6580.0,20141.0,13561.0,7754.0,348.0,1611.969,0.0,,,,,,millions,NZD,0.0,212.0
FY2019,20114.0,17334.0,2780.0,13.8,-10.0,-0.0,551.0,-605.0,-3.0,-0.35,1123.0,623.0,500.0,5881.0,17074.0,11193.0,6536.0,550.0,1611.98,0.0,,,,,,millions,NZD,0.0,
H1-2020,10071.0,8464.0,1607.0,16.0,917.0,9.1,1240.0,501.0,5.0,0.32,-124.0,133.0,-257.0,6291.0,20143.0,13852.0,6667.0,460.0,1612.055,0.0,,,,,,millions,NZD,0.0,205.0
FY2020,20282.0,17220.0,3062.0,15.1,1282.0,6.3,1774.0,659.0,3.2,0.43,1492.0,404.0,1088.0,6703.0,17916.0,11213.0,6041.0,788.0,1612.076,0.0,,,,,,millions,NZD,0.0,395.0
H1-2021,9597.0,7946.0,1651.0,17.2,602.0,6.3,977.0,391.0,4.1,0.23,-544.0,192.0,-736.0,7158.0,19955.0,12797.0,6252.0,345.0,,0.0,,,,,,millions,NZD,0.0,
FY2021,20565.0,17581.0,2984.0,14.5,887.0,4.3,1601.0,599.0,2.9,0.36,1194.0,521.0,673.0,6869.0,17341.0,10472.0,5072.0,985.0,1613.105,0.0,,,,,,millions,NZD,0.0,308.0
H1-2022,10588.0,9039.0,1549.0,14.6,601.0,5.7,921.0,364.0,3.4,0.22,-617.0,234.0,-851.0,6700.0,20816.0,14115.0,5748.0,479.0,,0.0,,,,,,millions,NZD,0.0,
FY2022,22953.0,19737.0,3216.0,14.0,1024.0,4.5,1611.0,583.0,2.5,0.36,193.0,552.0,-359.0,6906.0,18781.0,11875.0,5256.0,288.0,1613.353,0.0,,,,,,millions,NZD,0.0,297.0
H1-2023,12333.0,10287.0,2046.0,16.6,864.0,7.0,1171.0,546.0,4.4,0.33,276.0,298.0,-22.0,7929.0,21391.0,13462.0,5489.0,319.0,1612.291,0.0,,,,,,millions,NZD,0.0,189.0
FY2023,24580.0,20399.0,4181.0,17.0,1755.0,7.1,2880.0,1577.0,6.4,0.95,3518.0,670.0,2848.0,7968.0,18601.0,10633.0,3941.0,1822.0,1610.507,1.0,,,,,,millions,NZD,0.0,336.0
H1-2024,11085.0,9049.0,2036.0,18.4,986.0,8.9,1260.0,674.0,6.1,0.4,-84.0,289.0,-373.0,8080.0,18231.0,10151.0,4615.0,239.0,1609.245,0.0,,,,,,millions,NZD,804.0,125.0
FY2024,22822.0,19000.0,3822.0,16.7,1560.0,6.8,2154.0,1128.0,4.9,0.67,2313.0,650.0,1663.0,8175.0,16679.0,8504.0,3388.0,540.0,1606.934,1.0,,,,,,millions,NZD,804.0,218.0
H1-2025,12592.0,10364.0,2228.0,17.7,1099.0,8.7,1424.0,729.0,5.8,0.44,-1824.0,257.0,-2081.0,7992.0,20348.0,12356.0,5807.0,218.0,1609.191,0.0,,,,,,millions,NZD,0.0,93.0
FY2025,24111.0,20826.0,3285.0,13.6,1560.0,6.5,2367.0,1079.0,4.5,0.65,1960.0,700.0,1260.0,8338.0,17526.0,9188.0,3138.0,309.0,1606.895,3.0,,,,,,millions,NZD,0.0,197.0
H1-2026,12464.0,10580.0,1884.0,15.1,1050.0,8.4,1490.0,750.0,6.0,0.45,-1196.0,375.0,-1571.0,8786.0,21083.0,12297.0,5259.0,117.0,1609.191,0.0,,,,,,millions,NZD,0.0,105.0
FY2026,25398.0,21619.0,3779.0,14.9,1998.0,7.9,3949.0,2608.0,10.3,1.6,2651.0,1021.0,1630.0,6266.0,15112.0,8846.0,2847.0,947.0,1606.584,11.0,0.73,2772.0,25398.0,,1840.0,millions,NZD,3213.0,202.0
