Period,Revenue,CostOfRevenue,GrossProfit,GrossMargin,OperatingIncome,OperatingMargin,EBITDA,NetIncome,NetMargin,EPS,OperatingCashFlow,CapEx,FreeCashFlow,ShareholdersEquity,TotalAssets,TotalLiabilities,TotalDebt,CashAndEquivalents,SharesOutstanding,StockBasedComp,DividendPerShare,Units,Currency,NAmericaRevenue,InternationalRevenue,AWSRevenue,NAmericaOpInc,InternationalOpInc,AWSOpInc
FY2016,135987.0,,,,4186.0,3.1,,2371.0,,0.245,17272.0,6737.0,10535.0,19285.0,,,7694.0,19334.0,9540.0,,,,,79785.0,43983.0,12219.0,2361.0,-1283.0,3108.0
FY2017,177866.0,,,,4106.0,2.3,,3033.0,,0.3075,18434.0,10058.0,8376.0,27709.0,,,24743.0,20522.0,9680.0,,,,,106110.0,54297.0,17459.0,2837.0,-3062.0,4331.0
FY2018,232887.0,,,,12421.0,5.3,,10073.0,,1.007,30723.0,11323.0,19400.0,43549.0,,,23495.0,31750.0,9820.0,,,,,141366.0,65866.0,25655.0,7267.0,-2142.0,7296.0
FY2019,280522.0,,,,14541.0,5.2,,11588.0,,1.1505,38514.0,12689.0,25825.0,62060.0,,,23414.0,36092.0,9960.0,,,,,170773.0,74723.0,35026.0,7033.0,-1693.0,9201.0
FY2020,386064.0,,,,22899.0,5.9,,21331.0,,2.09,66064.0,35044.0,31020.0,93404.0,,,31816.0,42122.0,10060.0,,,,,236282.0,104412.0,45370.0,8651.0,717.0,13531.0
FY2021,469822.0,,,,24879.0,5.3,,33364.0,,3.24,46327.0,55396.0,-9069.0,138245.0,,,48744.0,36220.0,10175.0,,,,,279833.0,127787.0,62202.0,7271.0,-924.0,18532.0
Q1 2022,116444.0,,,,3669.0,3.2,,-3844.0,,-0.38,-2790.0,13742.0,-16532.0,134001.0,,,47556.0,36393.0,10171.0,,,,,69244.0,28759.0,18441.0,-1568.0,-1281.0,6518.0
Q2 2022,121234.0,,,,3317.0,2.7,,-2028.0,,-0.2,8965.0,14098.0,-5133.0,131402.0,,,58053.0,37478.0,10183.0,,,,,74430.0,27065.0,19739.0,-627.0,-1771.0,5715.0
Q3 2022,127101.0,,,,2525.0,2.0,,2872.0,,0.28,11404.0,15041.0,-3637.0,137489.0,,,58919.0,34947.0,10198.0,,,,,78843.0,27720.0,20538.0,-412.0,-2466.0,5403.0
FY2022,513983.0,,,,12248.0,2.4,,-2722.0,,-0.27,46752.0,58321.0,-11569.0,146043.0,,,67150.0,53888.0,10242.0,,,,,315880.0,118007.0,80096.0,-2847.0,-7746.0,22841.0
Q1 2023,127358.0,,,,4774.0,3.7,,3172.0,,0.31,4788.0,13070.0,-8282.0,154526.0,,,67084.0,49343.0,10258.0,,,,,76881.0,29123.0,21354.0,898.0,-1247.0,5123.0
Q2 2023,134383.0,,,,7681.0,5.7,,6750.0,,0.65,16476.0,10412.0,6064.0,168602.0,,,63092.0,49529.0,10313.0,,,,,82546.0,29697.0,22140.0,3211.0,-895.0,5365.0
Q3 2023,143083.0,,,,11188.0,7.8,,9879.0,,0.94,21217.0,11298.0,9919.0,182973.0,,,61098.0,49605.0,10330.0,,,,,87887.0,32137.0,23059.0,4307.0,-95.0,6976.0
FY2023,574785.0,,,,36852.0,6.4,,30425.0,,2.9,84946.0,48133.0,36813.0,201875.0,,,58314.0,73387.0,10383.0,,,,,352828.0,131200.0,90757.0,14877.0,-2656.0,24631.0
Q1 2024,143313.0,,,,15307.0,10.7,,10431.0,,0.98,18989.0,13935.0,5054.0,216661.0,,,57634.0,72852.0,10403.0,,,,,86341.0,31935.0,25037.0,4983.0,903.0,9421.0
Q2 2024,147977.0,,,,14672.0,9.9,,13485.0,,1.26,25281.0,16393.0,8888.0,236447.0,,,54889.0,71178.0,10490.0,,,,,90033.0,31663.0,26281.0,5065.0,273.0,9334.0
Q3 2024,158877.0,,,,17411.0,11.0,,15328.0,,1.43,25971.0,21278.0,4693.0,259151.0,,,54890.0,75091.0,10511.0,,,,,95537.0,35888.0,27452.0,5663.0,1301.0,10447.0
FY2024,637959.0,,,,68593.0,10.8,,59248.0,,5.53,115877.0,77658.0,38219.0,285970.0,,,52623.0,78779.0,10593.0,,,,,387497.0,142906.0,107556.0,24967.0,3792.0,39834.0
Q1 2025,155667.0,,,,18405.0,11.8,,17127.0,,1.59,17015.0,24255.0,-7240.0,305867.0,,,53374.0,66207.0,10613.0,,,,,92887.0,33513.0,29267.0,5841.0,1017.0,11547.0
Q2 2025,167702.0,,,,19171.0,11.4,,18164.0,,1.68,32515.0,31368.0,1147.0,333775.0,,,50718.0,57741.0,10660.0,,,,,100068.0,36761.0,30873.0,7517.0,1494.0,10160.0
Q3 2025,180169.0,,,,17422.0,9.7,,21187.0,,1.95,35525.0,34228.0,1297.0,369631.0,,,50742.0,66922.0,10687.0,,,,,106267.0,40896.0,33006.0,4789.0,1199.0,11434.0
FY2025,716924.0,,,,79975.0,11.2,,77670.0,,7.17,139514.0,128320.0,11194.0,411065.0,,,65648.0,86810.0,10731.0,,,,,426305.0,161894.0,128725.0,29619.0,4750.0,45606.0
Q1 2026,181519.0,,,,23852.0,13.1,,30255.0,,2.78,26032.0,43234.0,-17202.0,441914.0,,,119074.0,101816.0,10754.0,,,,,104143.0,39789.0,37587.0,8267.0,1424.0,14161.0
